drink,Volume (ml),Calories,Caffeine (mg),type,Calories (per ml),Caffeine (mg/ml)
Starbucks Pink Drink,473.176,140,45,Coffee,0.295872994,0.095102034
Starbucks Pumpkin Cream Cold Brew,473.176,250,185,Coffee,0.528344633,0.390975028
Starbucks Refreshers,473.176,70,45,Coffee,0.147936497,0.095102034
Wawa Coffee,473.176,4,290,Coffee,0.008453514,0.612879774
Private Selection Canned Espresso,443.6025,230,145,Coffee,0.5184822,0.326869213
Starbucks Doubleshot Energy,443.6025,220,135,Coffee,0.495939495,0.304326509
Wide Awak Energy Coffee,443.6025,190,180,Coffee,0.428311382,0.405768678
Chick-fil-A Frosted Coffee,414.029,240,130,Coffee,0.57966954,0.313987668
Chick-fil-A Iced Coffee,414.029,190,80,Coffee,0.458905053,0.19322318
Dunkin' Donuts Brewed Coffee,414.029,5,210,Coffee,0.012076449,0.507210848
Dunkin' Donuts Dunkaccino,414.029,350,83,Coffee,0.845351413,0.200469049
Dunkin' Donuts Extra Charged Coffee,414.029,10,252,Coffee,0.024152898,0.608653017
Dunkin' Donuts Latte,414.029,100,166,Coffee,0.241528975,0.400938099
Americano Coffee,354.882,5,154,Coffee,0.01408919,0.433947058
Big Train Java Chip Ice Coffee,354.882,410,49,Coffee,1.155313597,0.138074064
Biohazard Coffee,354.882,3,928,Coffee,0.008453514,2.614953703
Black Ink Coffee,354.882,0,144,Coffee,0,0.405768678
Black Insomnia Coffee,354.882,0,1105,Coffee,0,3.113711036
Black Label Brewed Coffee,354.882,0,1555,Coffee,0,4.381738155
Cafe Bustelo,354.882,0,150,Coffee,0,0.422675706
Caffe Mocha,354.882,239,152,Coffee,0.673463292,0.428311382
Caffe Nero Coffee,354.882,5,160,Coffee,0.01408919,0.450854087
Cannonball Coffee Maximum Charge (UK),354.882,0,1101,Coffee,0,3.102439684
Cappuccino,354.882,97,154,Coffee,0.27333029,0.433947058
Death Wish Coffee,354.882,0,728,Coffee,0,2.051386095
Devils Brew Extreme Caffeine Coffee,354.882,0,1325,Coffee,0,3.733635406
Flat White,354.882,170,130,Coffee,0.479032467,0.366318945
GymBrew Coffee,354.882,4,333,Coffee,0.011271352,0.938340068
High Voltage Coffee (AU),354.882,0,1150,Coffee,0,3.240513748
International Delight Iced Coffee,354.882,180,88,Coffee,0.507210848,0.247969748
Seattle's Best Brewed Coffee,354.882,10,260,Coffee,0.02817838,0.732637891
Starbucks Iced Espresso Classics,354.882,190,125,Coffee,0.535389228,0.352229755
Stipe Miocic Extra Strength Coffee,354.882,0,500,Coffee,0,1.408919021
Sudden Instant Coffee,354.882,0,95,Coffee,0,0.267694614
Taft Coffee (EU),354.882,0,1182,Coffee,0,3.330684566
Very Strong Coffee,354.882,0,1350,Coffee,0,3.804081357
Chameleon Cold Brew With Milk,325.3085,100,100,Coffee,0.307400514,0.307400514
Muscle Milk Coffee House,325.3085,130,120,Coffee,0.399620668,0.368880616
SlimFast Shake - Cappuccino,325.3085,180,100,Coffee,0.553320925,0.307400514
Starbucks Bottled Cold Brew,325.3085,50,180,Coffee,0.153700257,0.553320925
Starbucks Canned Nitro Cold Brew,325.3085,0,235,Coffee,0,0.722391207
Starbucks Cold & Crafted,325.3085,50,135,Coffee,0.153700257,0.414990693
Stumptown Nitro Cold Brew,325.3085,3,330,Coffee,0.009222015,1.014421695
Sunup Pure Green Coffee,325.3085,5,200,Coffee,0.015370026,0.614801027
Wide Awake Coffee Cold Brew,325.3085,5,120,Coffee,0.015370026,0.368880616
Chameleon Cold Brew RTD,295.735,10,230,Coffee,0.033814057,0.7777233
Chick-fil-A Brewed Coffee,295.735,0,136,Coffee,0,0.459871168
CoolBrew Coffee,295.735,0,60,Coffee,0,0.202884339
Tim Hortons Small French Vanilla Coffee,295.735,0,60,Coffee,0,0.202884339
La Colombe Cold Brew,266.1615,5,180,Coffee,0.018785587,0.67628113
La Colombe Draft Latte,266.1615,90,120,Coffee,0.338140565,0.450854087
Alpine Start Instant Coffee,236.588,0,120,Coffee,0,0.507210848
Bulletproof Coffee,236.588,0,145,Coffee,0,0.612879774
Califia Farms Cold Brew Coffee,236.588,10,180,Coffee,0.042267571,0.760816271
CBD Coffee,236.588,0,100,Coffee,0,0.422675706
Chameleon Cold Brew Coffee,236.588,15,200,Coffee,0.063401356,0.845351413
Coffee,236.588,0,163,Coffee,0,0.688961401
"Coffee (Decaf, Instant)",236.588,6,2,Coffee,0.025360542,0.008453514
Coffee (Instant),236.588,0,57,Coffee,0,0.240925153
Coffee Leaf Tea,236.588,0,20,Coffee,0,0.084535141
Crio Bru Brewed Cacao,236.588,20,10,Coffee,0.084535141,0.042267571
Death Wish Canned Cold Brew,236.588,15,300,Coffee,0.063401356,1.268027119
Death Wish Latte,236.588,170,300,Coffee,0.718548701,1.268027119
Decaf Coffee,236.588,2,6,Coffee,0.008453514,0.025360542
Driftaway Coffee,236.588,0,160,Coffee,0,0.67628113
Eight O'Clock Coffee,236.588,0,112,Coffee,0,0.473396791
Folgers Coffee,236.588,0,112,Coffee,0,0.473396791
Gold Peak Coffee,236.588,5,126,Coffee,0.021133785,0.53257139
Gothrider Gasoline Coffee,236.588,0,200,Coffee,0,0.845351413
High Brew Coffee,236.588,50,140,Coffee,0.211337853,0.591745989
Indulgio Cappuccino,236.588,79,20,Coffee,0.333913808,0.084535141
K Cup Decaf,236.588,0,4,Coffee,0,0.016907028
K-Cup Coffee,236.588,0,100,Coffee,0,0.422675706
Maxwell House Coffee,236.588,0,112,Coffee,0,0.473396791
Maxwell House Max Boost Coffee,236.588,0,196,Coffee,0,0.828444384
Nescafe Dolce Gusto,236.588,0,106,Coffee,0,0.448036249
Nescafe Ice Java,236.588,50,100,Coffee,0.211337853,0.422675706
Nescafe Ricoffy,236.588,10,6,Coffee,0.042267571,0.025360542
Nestle Milo,236.588,80,4,Coffee,0.338140565,0.016907028
